CustomerID,AddressID,AddressTypeID,rowguid,ModifiedDate
17254,26813,2,nPzLQZzjt0Swdk+gx/3rcw==,2003-08-24 00:00:00.000000 UTC
15126,25025,2,tzvsXnjpSE+lY0MTGkd/Lg==,2003-08-24 00:00:00.000000 UTC
19177,13698,2,NDF52v/0aUepuM4v2Qs6HA==,2003-08-24 00:00:00.000000 UTC
24317,13962,2,04iTBl4AD0muDUySpnviQQ==,2003-08-24 00:00:00.000000 UTC
13962,21224,2,UJRPOHwYJE6myOww2R7Zxw==,2003-08-24 00:00:00.000000 UTC
21159,20217,2,YE+Hs8aTVEeWHRcfcHADmg==,2003-08-24 00:00:00.000000 UTC
17036,19134,2,NGChco7EV0mzxE3Nh6mejA==,2003-08-24 00:00:00.000000 UTC
18632,25934,2,SDU2v8MlVECbYwjYfLdtnQ==,2003-08-24 00:00:00.000000 UTC
20199,12178,2,Si6kCMy9x0GWwwNX1a6hNg==,2003-08-24 00:00:00.000000 UTC
14921,17456,2,muPn7h07MEyNZ+eGjWW2qQ==,2003-08-24 00:00:00.000000 UTC
18758,23350,2,1bB8iKzYykSj6uTVvJ0+EQ==,2003-08-24 00:00:00.000000 UTC
11203,14498,2,72dlGxFqnUCjN5U8MVih5A==,2003-08-24 00:00:00.000000 UTC
13698,18560,2,j+DVIPR+A0SMcHqRHgFIDw==,2003-08-24 00:00:00.000000 UTC
12602,25782,2,j4ODbb0gVUKqIpmERuwXgA==,2003-08-24 00:00:00.000000 UTC
15498,11836,2,9xD7DLDawk2N+eq0oNXA7g==,2003-08-24 00:00:00.000000 UTC
18707,20325,2,HcTDBseTNUylxjN2MkZ5cA==,2003-08-24 00:00:00.000000 UTC
19778,20277,2,VJNw3CdM8kGLGruXmLbnKw==,2003-08-24 00:00:00.000000 UTC
18259,17726,2,fnU5zpdUT0O6sLduwDEBtg==,2003-08-24 00:00:00.000000 UTC
19408,12585,2,Jf2MU+G+b0Okla5KwdntdA==,2003-08-24 00:00:00.000000 UTC
27777,11859,2,KR0U18UCz0OB1UpXRNI2Wg==,2003-08-24 00:00:00.000000 UTC
29000,25902,2,l0N7T9J2B0WpH7Qe7pgtfg==,2003-08-24 00:00:00.000000 UTC
12979,17693,2,Hswz88LktUqPD1OwV2X/nA==,2003-08-24 00:00:00.000000 UTC
15526,16561,2,tYjnO0mzzEWkIi5Lb72DqQ==,2003-08-24 00:00:00.000000 UTC
17640,19990,2,ymB5uX9D4E+bnQjs2lxYyg==,2003-08-24 00:00:00.000000 UTC
16887,23677,2,IKN+u0O440+/9WuTWq1Izg==,2003-08-24 00:00:00.000000 UTC
19090,20679,2,jm7Qu5o2wEuCnEoyHf+cJQ==,2003-08-24 00:00:00.000000 UTC
27774,24767,2,Fo4Wn5o3GU+y3bX/9Sfv+g==,2003-08-24 00:00:00.000000 UTC
